backbone,corruption,severity,accuracy,auroc,f1,ece_10_bins,brier_score,nll,mean_confidence,overconfidence_gap,vanilla_ece_from_temp_run,temp_scaled_ece_10_bins,temp_scaled_brier_score,temp_scaled_nll,temp_scaled_mean_confidence,temp_scaled_overconfidence_gap,ece_delta_temp_minus_vanilla,brier_delta_temp_minus_vanilla,nll_delta_temp_minus_vanilla
resnet18,clean,0,0.8001251172974664,0.8687568368679205,0.7755532139093783,0.0201599339339596,0.1419419646263122,0.4462107121944427,0.8101490139961243,0.0100238919258117,0.0201599339339596,0.0130139917256424,0.1419915407896042,0.4443733096122741,0.7929858565330505,-0.0071392655372619,-0.0071459422083172,4.957616329193115e-05,-0.0018374025821685
resnet18,gaussian_noise,4,0.5426962777604004,0.5602863740977295,0.4617083946980854,0.0731064710238221,0.2532197535037994,0.7020362019538879,0.6158027648925781,0.0731064677238464,0.0715469089119666,0.0605468203173528,0.2488494515419006,0.69141685962677,0.6048070788383484,0.0605468153953552,-0.0110000885946138,-0.0018352568149566,-0.0045896768569946
resnet18,blur,4,0.6646856427901158,0.7294258795299765,0.6647904940587868,0.0404502719612766,0.2120195925235748,0.612169623374939,0.7051359415054321,0.0404502749443054,0.0404502719612766,0.024071289443731,0.2107136398553848,0.6081951260566711,0.6887568831443787,0.0240712165832519,-0.0163789825175455,-0.00130595266819,-0.0039744973182678
resnet18,brightness_up,4,0.7582108226462309,0.8315270279277478,0.710378418883477,0.0427007219886123,0.1663171201944351,0.5073290467262268,0.8009116053581238,0.0427007675170898,0.0427007143632449,0.0268452676676719,0.1649502515792846,0.50051349401474,0.7836387157440186,0.0254278779029846,-0.0158554466955729,-0.0013668686151504,-0.0068155527114868
resnet18,contrast_up,4,0.7747888645605255,0.8426871488447409,0.7389412617839014,0.0443547914876093,0.1600508689880371,0.495091825723648,0.8171008825302124,0.0423120260238647,0.0443547914876093,0.0270480057542161,0.1586262136697769,0.4873338937759399,0.7995315790176392,0.0247427225112915,-0.0173067857333932,-0.0014246553182601,-0.0077579915523529
resnet50,clean,0,0.8151391929934313,0.8740620503350309,0.7832783278327833,0.0369760086880819,0.1372865526536123,0.4437010815050041,0.8425274460770488,0.0273882530836174,0.0369760080321942,0.0094390310280661,0.1365985641747376,0.4369044364287799,0.8088706803557917,-0.0062685126376396,-0.027536977004128,-0.0006879881680869,-0.0067966436804358
resnet50,gaussian_noise,4,0.5317485142320926,0.4455732382935178,0.0507292327203551,0.1798414918438211,0.2958939684726342,0.8115722790147089,0.7115900060759136,0.179841491843821,0.1785526698106223,0.1448203539746718,0.2830665146548902,0.7730676103218548,0.6774497253352454,0.1447628313721549,-0.0337323158359504,-0.0126411672927672,-0.0377502290710336
resnet50,blur,4,0.6324679386925243,0.6996600679864027,0.6153846153846154,0.0423401065629871,0.2191186546740995,0.6310486626573408,0.6748080452555114,0.0423401065629871,0.0423401068542986,0.0359494089311199,0.2179604478437776,0.6266083001778799,0.64920053463738,0.0167325959448557,-0.0063906979231786,-0.0011582068529737,-0.0044403623243632
resnet50,brightness_up,4,0.7791679699718486,0.8376948139783809,0.732778198334595,0.0496518634344764,0.1616505389001442,0.5121004761288908,0.8288198334063249,0.0496518634344763,0.0496518626541987,0.0240817455724021,0.1591303636643514,0.4958975662367459,0.7956425152508694,0.0164745452790208,-0.0255701170817966,-0.002520174758795,-0.0162029080623963
resnet50,contrast_up,4,0.7910541132311542,0.8457918220277512,0.7538688282977155,0.056279711895481,0.1570064457547708,0.5013252355310777,0.8413643876610928,0.0503102744299386,0.0562797108004414,0.0253965055385315,0.1543196078147285,0.4838473851130097,0.808072236839951,0.0170181236087968,-0.0308832052619099,-0.0026868374217561,-0.0174778480166875
